,coin,time,near_symbol,far_symbol,vwap_near,vwap_far,spread,volume_near,volume_far
98,XBT,2018-01-07 01:00:00,XBTH18,XBTM18,18424.466299282052,19492.30889850892,1067.8425992268676,2168524,210519
99,XBT,2018-01-07 02:00:00,XBTH18,XBTM18,18368.183487275517,19580.072901634667,1211.8894143591497,1090638,398918
100,XBT,2018-01-07 03:00:00,XBTH18,XBTM18,18185.824815985143,19320.76112363815,1134.9363076530062,2560372,458733
101,XBT,2018-01-07 04:00:00,XBTH18,XBTM18,18162.43894229557,19255.935506089383,1093.4965637938149,2177202,528083
102,XBT,2018-01-07 05:00:00,XBTH18,XBTM18,18364.227226461768,19503.22859019328,1139.0013637315133,3632984,385450
103,XBT,2018-01-07 06:00:00,XBTH18,XBTM18,18230.31795541954,19265.26862764213,1034.9506722225888,1993342,280087
104,XBT,2018-01-07 07:00:00,XBTH18,XBTM18,18278.28499740945,19355.0756603109,1076.7906629014506,1026344,75716
105,XBT,2018-01-07 08:00:00,XBTH18,XBTM18,18455.86360760999,19497.527741432543,1041.6641338225527,1636796,191352
106,XBT,2018-01-07 09:00:00,XBTH18,XBTM18,18350.799219815934,19301.796952143126,950.9977323271924,740167,179621
107,XBT,2018-01-07 10:00:00,XBTH18,XBTM18,18363.936947560625,19438.325670234506,1074.3887226738807,631289,76330
108,XBT,2018-01-07 11:00:00,XBTH18,XBTM18,18435.675648456672,19369.448034285746,933.7723858290738,1421959,213179
109,XBT,2018-01-07 12:00:00,XBTH18,XBTM18,18254.939859363512,19171.062889942845,916.1230305793324,4410295,282575
110,XBT,2018-01-07 13:00:00,XBTH18,XBTM18,18018.46851624354,18879.900289997342,861.4317737538004,7524511,1428910
111,XBT,2018-01-07 14:00:00,XBTH18,XBTM18,18125.412489873746,19009.753016542632,884.340526668886,668717,333913
112,XBT,2018-01-07 15:00:00,XBTH18,XBTM18,18153.5032401622,19057.99162547472,904.4883853125175,1738438,200646
113,XBT,2018-01-07 16:00:00,XBTH18,XBTM18,17739.450822771458,18715.29816771071,975.8473449392513,9963950,526351
114,XBT,2018-01-07 17:00:00,XBTH18,XBTM18,17575.556403500446,18558.30169248353,982.745288983082,7463224,892507
115,XBT,2018-01-07 18:00:00,XBTH18,XBTM18,17622.9540949045,18649.107838527874,1026.1537436233739,8166110,283400
116,XBT,2018-01-07 19:00:00,XBTH18,XBTM18,17713.27804353363,18788.141931571223,1074.863888037591,1444938,53837
117,XBT,2018-01-07 20:00:00,XBTH18,XBTM18,17637.139288761293,18691.16259763304,1054.0233088717468,962655,288725
118,XBT,2018-01-07 21:00:00,XBTH18,XBTM18,17829.27164997259,18882.59306291542,1053.3214129428306,848243,175124
119,XBT,2018-01-07 22:00:00,XBTH18,XBTM18,18024.20216182795,19166.677989006992,1142.4758271790415,1156616,410461
120,XBT,2018-01-07 23:00:00,XBTH18,XBTM18,17909.572906520967,18723.162038707866,813.5891321868985,4139863,1775639
121,XBT,2018-01-08 00:00:00,XBTH18,XBTM18,17783.465464328798,18574.370635460924,790.9051711321263,1612466,440984
122,XBT,2018-01-08 01:00:00,XBTH18,XBTM18,17394.953060757303,18259.31592974933,864.362868992026,8633510,1274795
123,XBT,2018-01-08 02:00:00,XBTH18,XBTM18,17407.315209787736,18462.002254969422,1054.6870451816867,1067601,210306
124,XBT,2018-01-08 03:00:00,XBTH18,XBTM18,17164.937031269135,18067.45185727864,902.5148260095048,9393397,1289114
125,XBT,2018-01-08 04:00:00,XBTH18,XBTM18,17365.643617146998,18029.129398303012,663.4857811560141,1526331,585860
126,XBT,2018-01-08 05:00:00,XBTH18,XBTM18,17439.013259104093,18302.46696345839,863.4537043542987,3715203,427488
127,XBT,2018-01-08 06:00:00,XBTH18,XBTM18,17524.506336620343,18287.10458955176,762.5982529314169,619519,84732
128,XBT,2018-01-08 07:00:00,XBTH18,XBTM18,17575.49348153653,18468.418741657388,892.9252601208573,851660,454498
129,XBT,2018-01-08 08:00:00,XBTH18,XBTM18,17163.169097473718,18363.94709544901,1200.7779979752922,6110283,7602855
130,XBT,2018-01-08 09:00:00,XBTH18,XBTM18,16986.80129792845,17964.025124628402,977.223826699952,8949342,986089
131,XBT,2018-01-08 10:00:00,XBTH18,XBTM18,16724.96299914282,17759.645991252244,1034.682992109425,5926171,686313
132,XBT,2018-01-08 11:00:00,XBTH18,XBTM18,16866.463030115643,18000.217849801593,1133.7548196859498,1320968,381028
133,XBT,2018-01-08 12:00:00,XBTH18,XBTM18,16869.051596527934,18085.999069752645,1216.9474732247108,1992560,573789
134,XBT,2018-01-08 13:00:00,XBTH18,XBTM18,16043.654977995833,17020.51678408805,976.8618060922163,30726894,12995949
135,XBT,2018-01-08 14:00:00,XBTH18,XBTM18,15728.924884013504,16704.832566012534,975.9076819990296,17598710,8289732
136,XBT,2018-01-08 15:00:00,XBTH18,XBTM18,15230.996851891905,16588.42148433005,1357.4246324381456,30973047,25857979
137,XBT,2018-01-08 16:00:00,XBTH18,XBTM18,15806.059785571191,17059.090122997182,1253.030337425991,7307804,4285503
138,XBT,2018-01-08 17:00:00,XBTH18,XBTM18,15574.240364544197,16924.838568819137,1350.5982042749401,6408796,3986926
139,XBT,2018-01-08 18:00:00,XBTH18,XBTM18,15957.159055537939,17127.595515787518,1170.4364602495789,7269245,698045
140,XBT,2018-01-08 19:00:00,XBTH18,XBTM18,16006.24909771087,17168.748890676517,1162.4997929656474,3757061,608721
141,XBT,2018-01-08 20:00:00,XBTH18,XBTM18,15790.11050591635,16828.65844126293,1038.5479353465817,4300017,950250
142,XBT,2018-01-08 21:00:00,XBTH18,XBTM18,15936.926836083396,17006.558588766686,1069.63175268329,923228,550363
