,net_profitability,n_trades,winning_ratio,losing_ratio,MDD,largest_win,largest_lose,sharpe_ratio,aver_holding_time,aver_winning_holding_time,aver_losing_holding_time,in_standard,out_standard
"(65,30)",0.2684824728143087,907.0,0.7850055126791621,0.21389195148842338,0.7510639317439244,0.19659252715606157,-0.07250984263308102,2.633592098732982,54043.708609271,43801.685393258,91632.989690721,65,30
"(65,35)",0.06317257741226712,1049.0,0.778836987607245,0.2202097235462345,0.925302128833572,0.0639778041455461,-0.035000429791332666,2.1377394260435825,41187.022900763,33655.813953488,67823.376623376,65,35
"(70,10)",0.565925819122276,236.0,0.7161016949152542,0.2796610169491525,1.1036474301278059,0.07538925268937402,-0.031593280038270555,6.975247359220531,311116.59574468,243244.970414201,484909.09090909,70,10
"(70,15)",0.5391516380561681,373.0,0.7587131367292225,0.2386058981233244,0.9262360064198962,0.08035493956601703,-0.024120465569335003,8.533383242334683,178006.451612903,141341.342756183,294593.258426966,70,15
"(70,20)",0.5580616755849865,501.0,0.7465069860279441,0.25149700598802394,0.7263498482080546,0.20359755780159472,-0.035000429791332666,6.175963050236391,118188.0,94629.946524064,188114.285714285,70,20
"(70,25)",0.5978520464137991,670.0,0.7850746268656716,0.21492537313432836,0.8139242523160904,0.20359755780159472,-0.035000429791332666,5.800749557800756,73821.492537313,61514.828897338,118775.0,70,25
"(70,30)",0.5153678017389045,808.0,0.7982673267326733,0.20173267326732675,0.7916711404660118,0.20359755780159472,-0.035000429791332666,4.642928135391055,52404.950495049,42535.813953488,91457.668711656,70,30
"(70,35)",0.25157006110203506,913.0,0.80065717415115,0.19934282584884994,0.8580087596223636,0.0639778041455461,-0.035000429791332444,3.4028762573484608,40179.627601314,33572.093023255,66718.681318681,70,35
"(75,10)",0.543534562949819,221.0,0.7285067873303167,0.2669683257918552,1.076180917738399,0.07538925268937402,-0.03159328003827078,6.110913151089744,315212.727272727,247393.788819875,500277.966101694,75,10
"(75,15)",0.5075576043569772,334.0,0.7664670658682635,0.23053892215568864,0.8937143794894934,0.07325363201723145,-0.024120465569335003,7.537212767403052,183459.459459459,145350.0,310161.038961038,75,15
"(75,20)",0.506778498790275,437.0,0.7688787185354691,0.2288329519450801,0.6857112218111411,0.20359755780159472,-0.035000429791332666,5.3570572820303495,120005.504587155,98742.857142857,191448.0,75,20
"(75,25)",0.4510703346219289,568.0,0.795774647887324,0.20422535211267606,0.6699768333412627,0.20359755780159472,-0.035000429791332666,4.851164328481261,74471.830985915,62020.3539823,122989.655172413,75,25
"(75,30)",0.34977825972259646,668.0,0.8023952095808383,0.19760479041916168,0.5891212641839817,0.20359755780159472,-0.035000429791332666,3.5310141199285665,52200.0,42340.298507462,92236.363636363,75,30
"(75,35)",0.14299367777126948,732.0,0.7978142076502732,0.20218579234972678,0.6112578364610348,0.05583630355288305,-0.035000429791332444,2.8258682979533125,40229.508196721,32819.178082191,69470.27027027,75,35
"(80,10)",0.5481265259872337,208.0,0.75,0.24519230769230768,1.0896882714880185,0.07448059016193342,-0.031593280038270555,5.271199836926951,312660.869565217,254930.769230769,489247.058823529,80,10
"(80,15)",0.4451456251262944,307.0,0.7654723127035831,0.23127035830618892,0.8489536170344331,0.06146310362384999,-0.022647256618233413,5.410980298557692,176882.352941176,134793.191489361,316191.549295774,80,15
"(80,20)",0.3834977210138777,378.0,0.7645502645502645,0.2328042328042328,0.571970193066592,0.21136360918022556,-0.03316313746399291,3.4997996873477635,117329.442970822,93712.110726643,194890.909090909,80,20
"(80,25)",0.346547631636241,471.0,0.8067940552016986,0.1932059447983015,0.5607640467983025,0.2113636091802258,-0.033463243037961776,3.6911811831229784,71640.76433121,60195.789473684,119432.967032967,80,25
"(80,30)",0.28036077653614533,532.0,0.806390977443609,0.19360902255639098,0.42636874988202844,0.21136360918022556,-0.033463243037961776,3.0634435396502453,51076.691729323,42394.405594405,87238.834951456,80,30
"(80,35)",0.04359711750136053,568.0,0.801056338028169,0.198943661971831,0.44057963874376893,0.058156456868988515,-0.03316313746399291,2.345647269007062,39270.422535211,31988.571428571,68591.150442477,80,35
"(85,10)",0.4688259213221406,175.0,0.7657142857142857,0.22857142857142856,0.6807478397438106,0.06212109313655012,-0.031593280038270555,6.118469655108594,329793.103448275,282035.820895522,489780.0,85,10
"(85,15)",0.40998663101168953,244.0,0.7786885245901639,0.21721311475409835,0.5656513162972935,0.0644599841210659,-0.027881866379499964,6.610454472862218,182933.333333333,150404.210526315,299547.16981132,85,15
"(85,20)",0.1803905420263643,285.0,0.7719298245614035,0.22456140350877193,0.37702640177683977,0.06069956472904792,-0.03316313746399291,6.096439971082348,120130.985915492,102027.272727272,182362.5,85,20
"(85,25)",0.24748165270938371,342.0,0.8157894736842105,0.18421052631578946,0.4155278426147203,0.047869166354208126,-0.03316313746399291,6.551812478914322,72263.157894736,61083.870967741,121771.428571428,85,25
"(85,30)",0.25255600666163036,374.0,0.8235294117647058,0.17647058823529413,0.3930563614045408,0.047869166354208126,-0.03316313746399291,5.215553610842451,50525.133689839,43012.987012987,85581.818181818,85,30
"(85,35)",0.21964581194639998,395.0,0.8253164556962025,0.17468354430379746,0.3756505764177541,0.058156456868988515,-0.03316313746399291,4.755204158259815,38160.0,32355.828220858,65582.608695652,85,35
